Fancy22Font;Fonts\\MORPHEUS.ttf;22;;ffd100;;;;;;
Fancy24Font;Fonts\\MORPHEUS.TTF;24;;;;;;;;
Fancy27Font;Fonts\\MORPHEUS.TTF;27;;;;;;;;
Fancy30Font;Fonts\\MORPHEUS.TTF;30;;;;;;;;
Fancy32Font;Fonts\\MORPHEUS.TTF;32;;;;;;;;
Fancy36Font;Fonts\\MORPHEUS.TTF;36;;;;;;;;
Fancy40Font;Fonts\\MORPHEUS.TTF;40;;;;;;;;
Fancy48Font;Fonts\\MORPHEUS.TTF;48;;;;;;;;
FocusFontSmall;Fonts\\FRIZQT__.TTF;13;;ffd100;000000;1;-1;SystemFont_Shadow_Med2;;
FriendsFont_11;Fonts\\FRIZQT__.TTF;11;;;000000;1;-1;;;
FriendsFont_Large;Fonts\\FRIZQT__.TTF;13;;;000000;1;-1;;;
FriendsFont_Normal;Fonts\\FRIZQT__.TTF;12;;;000000;1;-1;;;
FriendsFont_Small;Fonts\\FRIZQT__.TTF;10;;;000000;1;-1;;;
FriendsFont_UserText;Fonts\\ARIALN.TTF;11;;;000000;1;-1;;;
Game10Font_o1;Fonts\\FRIZQT__.TTF;10;OUTLINE;;;;;;;
Game11Font_o1;Fonts\\FRIZQT__.ttf;11;OUTLINE;;;;;;;
Game11Font_Shadow;Fonts\\FRIZQT__.ttf;11;;;000000;1;-1;;;
Game11Font;Fonts\\FRIZQT__.ttf;11;;;;;;;;
Game120Font;Fonts\\FRIZQT__.ttf;120;;;;;;;;
Game12Font_o1;Fonts\\FRIZQT__.ttf;12;OUTLINE;;;;;;;
Game12Font;Fonts\\FRIZQT__.ttf;12;;;;;;;;
Game13Font_o1;Fonts\\FRIZQT__.ttf;13;OUTLINE;;;;;;;
Game13Font;Fonts\\FRIZQT__.ttf;13;;;;;;;;
Game13FontShadow;Fonts\\FRIZQT__.ttf;13;;;000000;1;-1;;;
Game15Font_o1;Fonts\\FRIZQT__.TTF;15;OUTLINE;;;;;;;
Game15Font_Shadow;Fonts\\FRIZQT__.ttf;15;;;000000;1;-1;;;
Game15Font;Fonts\\FRIZQT__.ttf;15;;;;;;;;
Game16Font;Fonts\\FRIZQT__.ttf;16;;;;;;;;
Game17Font_Shadow;Fonts\\FRIZQT__.ttf;17;;;000000;1;-1;;;
Game18Font;Fonts\\FRIZQT__.ttf;18;;;;;;;;
Game19Font;Fonts\\FRIZQT__.TTF;19;;;000000;1;-1;;;
Game20Font;Fonts\\FRIZQT__.ttf;20;;;;;;;;
Game21Font;Fonts\\FRIZQT__.TTF;21;;;000000;1;-1;;;
Game22Font;Fonts\\FRIZQT__.TTF;22;;;000000;1;-1;;;
Game24Font;Fonts\\FRIZQT__.ttf;24;;;;;;;;
Game27Font;Fonts\\FRIZQT__.ttf;27;;;;;;;;
Game30Font;Fonts\\FRIZQT__.TTF;30;;;;;;;;
Game32Font_Shadow2;Fonts\\FRIZQT__.ttf;32;;;000000;2;-2;;;
Game32Font;Fonts\\FRIZQT__.ttf;32;;;;;;;;
Game36Font_Shadow2;Fonts\\FRIZQT__.ttf;36;;;000000;2;-2;;;
Game36Font;Fonts\\FRIZQT__.ttf;36;;;;;;;;
Game40Font_Shadow2;Fonts\\FRIZQT__.ttf;40;;;000000;2;-2;;;
Game40Font;Fonts\\FRIZQT__.ttf;40;;;;;;;;
Game42Font;Fonts\\FRIZQT__.ttf;42;;;;;;;;
Game46Font_Shadow2;Fonts\\FRIZQT__.ttf;46;;;000000;2;-2;;;
Game46Font;Fonts\\FRIZQT__.ttf;46;;;;;;;;
Game48Font;Fonts\\FRIZQT__.ttf;48;;;;;;;;
Game48FontShadow;Fonts\\FRIZQT__.ttf;48;;;000000;1;-1;;;
Game52Font_Shadow2;Fonts\\FRIZQT__.ttf;52;;;000000;2;-2;;;
Game58Font_Shadow2;Fonts\\FRIZQT__.ttf;58;;;000000;2;-2;;;
Game60Font;Fonts\\FRIZQT__.ttf;60;;;;;;;;
Game69Font_Shadow2;Fonts\\FRIZQT__.ttf;69;;;000000;2;-2;;;
Game72Font_Shadow;Fonts\\FRIZQT__.ttf;72;;;000000;1;-1;;;
Game72Font;Fonts\\FRIZQT__.ttf;72;;;;;;;;
GameFont_Gigantic;Fonts\\FRIZQT__.TTF;32;;ffd100;000000;1;-1;;;
GameFont72Highlight;Fonts\\FRIZQT__.ttf;72;;;;;;GameFont72Normal;;
GameFont72HighlightShadow;Fonts\\FRIZQT__.ttf;72;;;000000;1;-1;GameFont72NormalShadow;;
GameFont72Normal;Fonts\\FRIZQT__.ttf;72;;ffd100;;;;Game72Font;;
GameFont72NormalShadow;Fonts\\FRIZQT__.ttf;72;;ffd100;000000;1;-1;Game72Font_Shadow;;
GameFontBlack;Fonts\\FRIZQT__.TTF;12;;000000;;;;SystemFont_Med1;;
GameFontBlackMedium;Fonts\\FRIZQT__.TTF;13;;000000;;;;SystemFont_Med3;;
GameFontBlackSmall;Fonts\\FRIZQT__.TTF;10;;000000;;;;SystemFont_Small;;
GameFontBlackSmall2;Fonts\\FRIZQT__.TTF;11;;000000;;;;SystemFont_Small2;;
GameFontBlackTiny;Fonts\\FRIZQT__.TTF;9;;000000;;;;SystemFont_Tiny;;
GameFontBlackTiny2;Fonts\\FRIZQT__.TTF;8;;000000;;;;SystemFont_Tiny2;;
GameFontDarkGraySmall;Fonts\\FRIZQT__.TTF;10;;595959;000000;1;-1;GameFontNormalSmall;;
GameFontDisable;Fonts\\FRIZQT__.TTF;12;;808080;000000;1;-1;GameFontNormal;;
GameFontDisableHuge;Fonts\\FRIZQT__.TTF;20;;808080;000000;1;-1;GameFontNormalHuge;;
GameFontDisableLarge;Fonts\\FRIZQT__.TTF;16;;808080;000000;1;-1;GameFontNormalLarge;;
GameFontDisableLeft;Fonts\\FRIZQT__.TTF;12;;808080;000000;1;-1;GameFontDisable;LEFT;
